OperatorInfo/Title,OperatorsReference,UsageTypeID,UsageType/IsPayAtLocation,UsageType/IsMembershipRequired,UsageType/IsAccessKeyRequired,UsageType/ID,UsageType/Title,UsageCost,AddressInfo/ID,AddressInfo/Title,AddressInfo/AddressLine1,AddressInfo/AddressLine2,AddressInfo/Town,AddressInfo/StateOrProvince,AddressInfo/Postcode,AddressInfo/CountryID,AddressInfo/Country/ISOCode,AddressInfo/Country/ContinentCode,AddressInfo/Country/ID,AddressInfo/Country/Title,AddressInfo/Latitude,AddressInfo/Longitude,AddressInfo/ContactTelephone1,AddressInfo/ContactTelephone2,AddressInfo/ContactEmail,AddressInfo/AccessComments,AddressInfo/RelatedURL,AddressInfo/Distance,AddressInfo/DistanceUnit,NumberOfPoints,GeneralComments,DatePlanned,DateLastConfirmed,StatusTypeID,StatusType/IsOperational,StatusType/IsUserSelectable,StatusType/ID,StatusType/Title,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,SubmissionStatus/IsLive,SubmissionStatus/ID,SubmissionStatus/Title,UserComments/0,PercentageSimilarity,Connections/0/ID,Connections/0/ConnectionTypeID,Connections/0/ConnectionType/FormalName,Connections/0/ConnectionType/IsDiscontinued,Connections/0/ConnectionType/IsObsolete,Connections/0/ConnectionType/ID,Connections/0/ConnectionType/Title,Connections/0/Reference,Connections/0/StatusTypeID,Connections/0/StatusType/IsOperational,Connections/0/StatusType/IsUserSelectable,Connections/0/StatusType/ID,Connections/0/StatusType/Title,Connections/0/LevelID,Connections/0/Level/Comments,Connections/0/Level/IsFastChargeCapable,Connections/0/Level/ID,Connections/0/Level/Title,Connections/0/Amps,Connections/0/Voltage,Connections/0/PowerKW,Connections/0/CurrentTypeID,Connections/0/CurrentType/Description
Tesla Motors (Worldwide),33680,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,118980,Healthouse Las Dunas Health & Beach Spa,Crta. Marbella - Estepona,,Km 163.5,Estepona,29689,210,ES,EU,210,Spain,36.453053,-5.068219,+34 951 08 20 90,,,,,,0,1,"1 Tesla Connector, up to 22kW.Available for customers. Please call ahead.",,,50,TRUE,TRUE,50,Operational,2019-03-27T06:54:00Z,1,2019-03-27T06:54:00Z,200,TRUE,200,Submission Published,,,167774,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
Tesla Motors (Worldwide),49540,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,118850,Sendaviva Park,Carretera Virgen del Yugo,,Arguedas,Navarra,31513,210,ES,EU,210,Spain,42.188448,-1.579636,34948088100,,,,,,0,1,"1 Tesla Connector, up to 17kW.Available to the public. Self park.",,,50,TRUE,TRUE,50,Operational,2019-03-25T06:50:00Z,1,2019-03-25T06:50:00Z,200,TRUE,200,Submission Published,,,167608,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),,,17,20,Alternating Current - Three Phase
Tesla Motors (Worldwide),49541,7,FALSE,FALSE,FALSE,7,Public - Notice Required,,118853,Terra Dominicata - Hotel & Winery,Hotel Terra Dominicata,,Escaladei,Tarragona,43379,210,ES,EU,210,Spain,41.24561,0.795513, +34 877 91 22 92,,,,,,0,2,"2 Tesla Connectors, up to 11kW.Available by reservation only. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-03-25T06:50:00Z,1,2019-03-25T06:50:00Z,200,TRUE,200,Submission Published,,,167611,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),16,400,11,20,Alternating Current - Three Phase
Fenie Energía (Spain),,1,,,,1,Public,gratis,118756,Estacion de Autobuses Fraga,Paseo de la Constitución,Fraga,Bajo Cinca / Baix Cinca,Bajo Cinca / Baix Cinca,22520,210,ES,EU,210,Spain,41.52263336,0.344129155,,,,,,,0,2,,,,50,TRUE,TRUE,50,Operational,2019-03-23T08:38:00Z,1,2019-03-22T19:57:00Z,200,TRUE,200,Submission Published,,,167503,25,IEC 62196-2 Type 2,FALSE,FALSE,25,Mennekes (Type 2),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,230,7.4,10,Alternating Current - Single Phase
(Business Owner at Location),,1,,,,1,Public,0,118612,Calle Las Cabezas 26,Poligono Industrial,,Villacañas,Toledo,45860,210,ES,EU,210,Spain,39.61284184,-3.355345766,925195784,,info@gfmfotovoltaica.com,,http://www.gfmfotovoltaica.com/,,0,3,,,,50,TRUE,TRUE,50,Operational,2019-03-20T21:05:00Z,1,2019-03-20T09:48:00Z,200,TRUE,200,Submission Published,,,167335,33,,FALSE,FALSE,33,CCS (Type 2 Version of Combined Coupler),,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),125,500,50,30,Direct Current
(Business Owner at Location),,5,TRUE,FALSE,FALSE,5,Public - Pay At Location,"0,33€/kWh",118467,Gasolwin La Carolina,"Crta Madrid Cadiz N-IV Km 269,2",,La Carolina,Jaen,23200,210,ES,EU,210,Spain,38.26760831,-3.612098524,655 043 508 (9 a 20H),,tecnico@gasolwin.com,,http://gasolwin.com/,,0,1,Por el momento el cobro se realizará en la misma estación de servicio.  Mas adelante el pago se podrá realizar a través de una aplicación móvil.,,,50,TRUE,TRUE,50,Operational,2019-03-16T07:00:00Z,1,2019-03-15T13:52:00Z,200,TRUE,200,Submission Published,,,167150,33,,FALSE,FALSE,33,CCS (Type 2 Version of Combined Coupler),,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),120,400,50,30,Direct Current
Tesla Motors (Worldwide),49309,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,118447,Hotel Ibis Murcia,C/ Madre Paula Gil Cano,,Murcia,,30009,210,ES,EU,210,Spain,38.002559,-1.142895, +34 968274939,,,,,,0,1,"1 Tesla Connector, up to 11kW.Available to the public. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-03-14T23:33:00Z,1,2019-03-14T23:33:00Z,200,TRUE,200,Submission Published,,,167120,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),16,400,11,20,Alternating Current - Three Phase
Tesla Motors (Worldwide),49002,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,118422,Las Casas de Ea Astei,Barrio Olagorta,,Bizkaia,,48287,210,ES,EU,210,Spain,43.36846,-2.615046, +34 619 56 01 23,,,,,,0,1,"1 Tesla Connector, up to 22kW.Available for customers. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-03-14T23:27:00Z,1,2019-03-14T23:27:00Z,200,TRUE,200,Submission Published,,,167095,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
Tesla Motors (Worldwide),49305,7,FALSE,FALSE,FALSE,7,Public - Notice Required,,118403,Hotel Terradets,Ctra. Balaguer-Tremp,,Cellers,,25631,210,ES,EU,210,Spain,42.068985,0.883274, +34 973 65 11 20,,,,,,0,1,"1 Tesla Connector, up to 22kW.Available by reservation only. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-03-14T23:23:00Z,1,2019-03-14T23:23:00Z,200,TRUE,200,Submission Published,,,167076,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
Tesla Motors (Worldwide),49285,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,118401,Hotel Vincci Valdecañas Golf,Hotel Vincci Valdecañas Golf,,,,10392,210,ES,EU,210,Spain,39.837071,-5.379258, +34 927 61 07 30,,,,,,0,1,"1 Tesla Connector, up to 11kW.Available to the public. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-03-14T23:22:00Z,1,2019-03-14T23:22:00Z,200,TRUE,200,Submission Published,,,167074,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),16,400,11,20,Alternating Current - Three Phase
