OperatorInfo;UsageTypeTitle;AddressInfo/Title;AddressInfo1;AddressInfo2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;ConnectionType;ConnectionAmps;ConnectionVoltage;ConnectionPowerKW
Tesla Motors (Worldwide);Public - Membership Required;Healthouse Las Dunas Health & Beach Spa;Crta. Marbella - Estepona;;36453053;-5068219;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Sendaviva Park;Carretera Virgen del Yugo;;42188448;-1579636;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Notice Required;Terra Dominicata - Hotel & Winery;Hotel Terra Dominicata;;4124561;795513;2;Tesla (Model S onwards);16;400;11
Fenie Energí­a (Spain);Public;Estacion de Autobuses Fraga;Paseo de la Constitución;Fraga;4.15226E+14;3.44129E+14;2;Mennekes (Type 2);32;230;7.4
(Business Owner at Location);Public;Calle Las Cabezas 26;Poligono Industrial;;3.96128E+14;-3.35535E+14;3;CCS (Type 2 Version of Combined Coupler);125;500;50
(Business Owner at Location);Public - Pay At Location;Gasolwin La Carolina;Crta Madrid Cadiz N-IV Km 269.2;;3.82676E+14;-3.6121E+14;1;CCS (Type 2 Version of Combined Coupler);120;400;50
Tesla Motors (Worldwide);Public - Membership Required;Hotel Ibis Murcia;C/ Madre Paula Gil Cano;;38002559;-1142895;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Las Casas de Ea Astei;Barrio Olagorta;;4336846;-2615046;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Hotel Terradets;Ctra. Balaguer-Tremp;;42068985;883274;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Vincci Valdecañ±as Golf;Hotel Vincci Valdecañ±as Golf;;39837071;-5379258;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Veritas;Av Josep Verges I Mata;;41912141;3169558;1;Tesla (Model S onwards);32;400;22
