OperatorInfo/Title;UsageType/Title;AddressInfo/Title;AddressInfo/AddressLine1;AddressInfo/AddressLine2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;Connections/0/ConnectionType/Title;Connections/0/Level/Title;Connections/0/Amps;Connections/0/Voltage;Connections/0/PowerKW
Tesla Motors (Worldwide);Public - Membership Required;Healthouse Las Dunas Health & Beach Spa;Crta. Marbella - Estepona;;36.453053;-5.068219;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Sendaviva Park;Carretera Virgen del Yugo;;42.188448;-1.579636;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;17
Tesla Motors (Worldwide);Public - Notice Required;Terra Dominicata - Hotel & Winery;Hotel Terra Dominicata;;41.24561;0.795513;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Fenie Energía (Spain);Public;Estacion de Autobuses Fraga;Paseo de la Constitución;Fraga;41.52263336;0.344129155;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7.4
(Business Owner at Location);Public;Calle Las Cabezas 26;Poligono Industrial;;39.61284184;-3.355345766;3;CCS (Type 2 Version of Combined Coupler);Level 3:  High (Over 40kW);125;500;50
(Business Owner at Location);Public - Pay At Location;Gasolwin La Carolina;Crta Madrid Cadiz N-IV Km 269,2;;38.26760831;-3.612098524;1;CCS (Type 2 Version of Combined Coupler);Level 3:  High (Over 40kW);120;400;50
Tesla Motors (Worldwide);Public - Membership Required;Hotel Ibis Murcia;C/ Madre Paula Gil Cano;;38.002559;-1.142895;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Las Casas de Ea Astei;Barrio Olagorta;;43.36846;-2.615046;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Hotel Terradets;Ctra. Balaguer-Tremp;;42.068985;0.883274;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Vincci Valdecañas Golf;Hotel Vincci Valdecañas Golf;;39.837071;-5.379258;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
